library|idx|hex.color|color|red|green|blue|alpha
R-657|74|#008B8B|darkcyan|0|139|139|255
R-657|75|#B8860B|darkgoldenrod|184|134|11|255
R-657|76|#FFB90F|darkgoldenrod1|255|185|15|255
R-657|77|#EEAD0E|darkgoldenrod2|238|173|14|255
R-657|78|#CD950C|darkgoldenrod3|205|149|12|255
R-657|79|#8B6508|darkgoldenrod4|139|101|8|255
R-657|80|#A9A9A9|darkgray|169|169|169|255
R-657|81|#006400|darkgreen|0|100|0|255
R-657|82|#A9A9A9|darkgrey|169|169|169|255
R-657|83|#BDB76B|darkkhaki|189|183|107|255
R-657|84|#8B008B|darkmagenta|139|0|139|255
R-657|85|#556B2F|darkolivegreen|85|107|47|255
R-657|86|#CAFF70|darkolivegreen1|202|255|112|255
R-657|87|#BCEE68|darkolivegreen2|188|238|104|255
R-657|88|#A2CD5A|darkolivegreen3|162|205|90|255
R-657|89|#6E8B3D|darkolivegreen4|110|139|61|255
R-657|90|#FF8C00|darkorange|255|140|0|255
R-657|91|#FF7F00|darkorange1|255|127|0|255
R-657|92|#EE7600|darkorange2|238|118|0|255
R-657|93|#CD6600|darkorange3|205|102|0|255
R-657|94|#8B4500|darkorange4|139|69|0|255
R-657|95|#9932CC|darkorchid|153|50|204|255
R-657|96|#BF3EFF|darkorchid1|191|62|255|255
R-657|97|#B23AEE|darkorchid2|178|58|238|255
R-657|98|#9A32CD|darkorchid3|154|50|205|255
R-657|99|#68228B|darkorchid4|104|34|139|255
R-657|100|#8B0000|darkred|139|0|0|255
R-657|101|#E9967A|darksalmon|233|150|122|255
R-657|102|#8FBC8F|darkseagreen|143|188|143|255
R-657|103|#C1FFC1|darkseagreen1|193|255|193|255
R-657|104|#B4EEB4|darkseagreen2|180|238|180|255
R-657|105|#9BCD9B|darkseagreen3|155|205|155|255
R-657|106|#698B69|darkseagreen4|105|139|105|255
R-657|107|#483D8B|darkslateblue|72|61|139|255
R-657|108|#2F4F4F|darkslategray|47|79|79|255
R-657|109|#97FFFF|darkslategray1|151|255|255|255
R-657|110|#8DEEEE|darkslategray2|141|238|238|255
R-657|111|#79CDCD|darkslategray3|121|205|205|255
R-657|112|#528B8B|darkslategray4|82|139|139|255
R-657|113|#2F4F4F|darkslategrey|47|79|79|255
R-657|114|#00CED1|darkturquoise|0|206|209|255
R-657|115|#9400D3|darkviolet|148|0|211|255
R-657|116|#FF1493|deeppink|255|20|147|255
R-657|117|#FF1493|deeppink1|255|20|147|255
R-657|118|#EE1289|deeppink2|238|18|137|255
R-657|119|#CD1076|deeppink3|205|16|118|255
R-657|120|#8B0A50|deeppink4|139|10|80|255
R-657|121|#00BFFF|deepskyblue|0|191|255|255
R-657|122|#00BFFF|deepskyblue1|0|191|255|255
R-657|123|#00B2EE|deepskyblue2|0|178|238|255
R-657|124|#009ACD|deepskyblue3|0|154|205|255
R-657|125|#00688B|deepskyblue4|0|104|139|255
R-657|126|#696969|dimgray|105|105|105|255
R-657|127|#696969|dimgrey|105|105|105|255
R-657|128|#1E90FF|dodgerblue|30|144|255|255
R-657|129|#1E90FF|dodgerblue1|30|144|255|255
R-657|130|#1C86EE|dodgerblue2|28|134|238|255
R-657|131|#1874CD|dodgerblue3|24|116|205|255
R-657|132|#104E8B|dodgerblue4|16|78|139|255
R-657|133|#B22222|firebrick|178|34|34|255
R-657|134|#FF3030|firebrick1|255|48|48|255
R-657|135|#EE2C2C|firebrick2|238|44|44|255
R-657|136|#CD2626|firebrick3|205|38|38|255
R-657|137|#8B1A1A|firebrick4|139|26|26|255
R-657|138|#FFFAF0|floralwhite|255|250|240|255
R-657|139|#228B22|forestgreen|34|139|34|255
R-657|140|#DCDCDC|gainsboro|220|220|220|255
R-657|141|#F8F8FF|ghostwhite|248|248|255|255
R-657|142|#FFD700|gold|255|215|0|255
R-657|143|#FFD700|gold1|255|215|0|255
R-657|144|#EEC900|gold2|238|201|0|255
R-657|145|#CDAD00|gold3|205|173|0|255
R-657|146|#8B7500|gold4|139|117|0|255
R-657|147|#DAA520|goldenrod|218|165|32|255
R-657|148|#FFC125|goldenrod1|255|193|37|255
R-657|149|#EEB422|goldenrod2|238|180|34|255
R-657|150|#CD9B1D|goldenrod3|205|155|29|255
R-657|151|#8B6914|goldenrod4|139|105|20|255
R-657|152|#BEBEBE|gray|190|190|190|255
R-657|153|#000000|gray0|0|0|0|255
R-657|154|#030303|gray1|3|3|3|255
R-657|163|#1A1A1A|gray10|26|26|26|255
R-657|253|#FFFFFF|gray100|255|255|255|255
R-657|164|#1C1C1C|gray11|28|28|28|255
R-657|165|#1F1F1F|gray12|31|31|31|255
R-657|166|#212121|gray13|33|33|33|255
R-657|167|#242424|gray14|36|36|36|255
R-657|168|#262626|gray15|38|38|38|255
R-657|169|#292929|gray16|41|41|41|255
R-657|170|#2B2B2B|gray17|43|43|43|255
R-657|171|#2E2E2E|gray18|46|46|46|255
R-657|172|#303030|gray19|48|48|48|255
R-657|155|#050505|gray2|5|5|5|255
R-657|173|#333333|gray20|51|51|51|255
R-657|174|#363636|gray21|54|54|54|255
R-657|175|#383838|gray22|56|56|56|255
R-657|176|#3B3B3B|gray23|59|59|59|255
R-657|177|#3D3D3D|gray24|61|61|61|255
R-657|178|#404040|gray25|64|64|64|255
R-657|179|#424242|gray26|66|66|66|255
R-657|180|#454545|gray27|69|69|69|255
R-657|181|#474747|gray28|71|71|71|255
R-657|182|#4A4A4A|gray29|74|74|74|255
R-657|156|#080808|gray3|8|8|8|255
R-657|183|#4D4D4D|gray30|77|77|77|255
R-657|184|#4F4F4F|gray31|79|79|79|255
R-657|185|#525252|gray32|82|82|82|255
R-657|186|#545454|gray33|84|84|84|255
R-657|187|#575757|gray34|87|87|87|255
R-657|188|#595959|gray35|89|89|89|255
R-657|189|#5C5C5C|gray36|92|92|92|255
R-657|190|#5E5E5E|gray37|94|94|94|255
R-657|191|#616161|gray38|97|97|97|255
R-657|192|#636363|gray39|99|99|99|255
R-657|157|#0A0A0A|gray4|10|10|10|255
R-657|193|#666666|gray40|102|102|102|255
R-657|194|#696969|gray41|105|105|105|255
R-657|195|#6B6B6B|gray42|107|107|107|255
R-657|196|#6E6E6E|gray43|110|110|110|255
R-657|197|#707070|gray44|112|112|112|255
R-657|198|#737373|gray45|115|115|115|255
R-657|199|#757575|gray46|117|117|117|255
R-657|200|#787878|gray47|120|120|120|255
R-657|201|#7A7A7A|gray48|122|122|122|255
R-657|202|#7D7D7D|gray49|125|125|125|255
R-657|158|#0D0D0D|gray5|13|13|13|255
R-657|203|#7F7F7F|gray50|127|127|127|255
R-657|204|#828282|gray51|130|130|130|255
R-657|205|#858585|gray52|133|133|133|255
R-657|206|#878787|gray53|135|135|135|255
R-657|207|#8A8A8A|gray54|138|138|138|255
R-657|208|#8C8C8C|gray55|140|140|140|255
R-657|209|#8F8F8F|gray56|143|143|143|255
R-657|210|#919191|gray57|145|145|145|255
R-657|211|#949494|gray58|148|148|148|255
R-657|212|#969696|gray59|150|150|150|255
R-657|159|#0F0F0F|gray6|15|15|15|255
R-657|213|#999999|gray60|153|153|153|255
R-657|214|#9C9C9C|gray61|156|156|156|255
R-657|215|#9E9E9E|gray62|158|158|158|255
R-657|216|#A1A1A1|gray63|161|161|161|255
R-657|217|#A3A3A3|gray64|163|163|163|255
R-657|218|#A6A6A6|gray65|166|166|166|255
R-657|219|#A8A8A8|gray66|168|168|168|255
R-657|220|#ABABAB|gray67|171|171|171|255
R-657|221|#ADADAD|gray68|173|173|173|255
R-657|222|#B0B0B0|gray69|176|176|176|255
R-657|160|#121212|gray7|18|18|18|255
R-657|223|#B3B3B3|gray70|179|179|179|255
R-657|224|#B5B5B5|gray71|181|181|181|255
R-657|225|#B8B8B8|gray72|184|184|184|255
